X,Y,Z,T,ID
57.80041274,48.68298976,20.7378292,0,0
110.4184163,77.41514894,23.82547332,0,1
107.326827,78.527159,23.5218422,1,2
57.96985803,48.70339959,25.13699156,1,3
105.7645598,78.10856582,22.74258438,2,4
58.8332926,48.52911044,25.7173913,2,5
102.9253312,80.04658564,22.82741116,3,6
57.57983609,49.20199518,24.40574712,3,7
103.0542797,79.8539887,24.1090262,4,8
57.38177883,50.59695097,23.5300421,4,9
101.8362639,77.77530315,22.5384123,5,10
56.6579491,48.960482,24.25645098,5,11
97.41825065,75.3954336,22.72169812,6,12
57.15418774,48.5938227,24.96539066,6,13
98.46647394,75.68877329,23.4427832,7,14
57.84392716,47.95265025,25.93439912,7,15
98.76721989,75.87192871,25.23104494,8,16
56.00592518,47.5747689,25.51454824,8,17
98.01136357,75.52496609,24.15802076,9,18
54.06022777,48.04906355,23.6601626,9,19
98.92076262,75.54151267,24.96075814,10,20
54.36342464,48.02135617,23.2385407,10,21
98.97050101,76.30513056,24.7642311,11,22
57.07665425,43.82682183,22.46745562,11,23
51.37434986,51.57008789,25.90061162,11,24
97.091157,79.16372914,24.32551908,12,25
61.70457448,44.03430144,23.27437326,12,26
49.66529869,49.20721636,25.20341394,12,27
94.23198589,81.37528238,23.95505618,13,28
64.7149052,44.13723213,25.00401606,13,29
49.53785806,46.43768429,26.75099866,13,30
93.10810788,81.19553612,24.67642406,14,31
66.18409489,43.62617304,26.54251498,14,32
49.29129377,43.94741213,28.7583815,14,33
87.13986514,78.03760245,25.16641452,15,34
94.5870991,78.59427493,24.51386862,15,35
65.73583969,42.13648843,25.23995408,15,36
47.37643207,42.46088315,27.41109852,15,37
66.27980142,43.97604388,23.78903456,16,38
46.83118906,46.49622768,24.81578948,16,39
87.13177817,78.09598429,25.8067114,16,40
99.63777685,80.8197273,25.93964334,16,41
68.23762063,46.64237045,21.95408164,17,42
100.2758751,82.07435059,25.19556172,17,43
46.51207372,48.0823441,23.54367816,17,44
84.96371643,78.30663279,26.0321229,17,45
69.71101679,47.56882471,20.1717647,18,46
45.64214401,47.25524356,21.82633372,18,47
99.37844696,82.09495347,24.53604194,18,48
81.95214086,77.86342763,24.93905472,18,49
70.49837439,48.37939629,20.548488,19,50
44.09037072,46.64428454,21.62387162,19,51
99.68709683,84.11982797,24.76643192,19,52
80.3619489,78.4240367,25.24206816,19,53
70.80224298,50.27951825,20.07892204,20,54
43.26679275,45.26513702,20.91195552,20,55
80.36036307,78.06375016,24.68554216,20,56
100.8978777,83.32023951,25.29316338,20,57
42.38357032,43.18382034,19.78736122,21,58
72.44241827,51.50466791,19.19039452,21,59
78.77112943,77.71546937,24.18666666,21,60
102.8305243,82.18562331,25.02056278,21,61
74.0766182,51.23643159,18.25445706,22,62
41.93769388,41.24300486,19.4074367,22,63
76.91418846,77.43511685,24.31628392,22,64
104.6829744,82.78834455,24.99698492,22,65
75.83453522,48.49248067,18.99236642,23,66
39.97264017,38.92270923,19.94117648,23,67
75.50505497,76.52643267,24.4680851,23,68
106.0960031,84.35500317,25.4739777,23,69
78.85929923,45.90398184,18.79140722,24,70
37.07038504,38.14465554,20.60729484,24,71
73.46715315,77.12844037,24.0045331,24,72
108.8545753,85.33511805,25.95269168,24,73
35.87596514,36.16271823,21.01196954,25,74
80.67137005,42.63348355,21.31023622,25,75
72.67019739,77.68387475,24.45342706,25,76
111.1718019,86.61303254,26.77308294,25,77
34.97684876,36.5877029,22.46276862,26,78
80.78975774,42.03654152,22.37270472,26,79
71.02968209,77.34249815,23.84596376,26,80
112.563645,86.97835826,27.44019472,26,81
80.42654237,45.58209658,22.23275862,27,82
37.69828056,37.86273279,24.63049714,27,83
68.51371985,78.26112144,23.06526632,27,84
113.4424345,87.32759766,26.59781912,27,85
79.13930126,48.78834185,21.85953672,28,86
66.76278434,79.08589865,23.19011668,28,87
39.88030459,40.13078229,26.58650362,28,88
113.468507,88.62227955,26.28144388,28,89
79.00198965,48.99549944,24.84205896,29,90
40.89595036,40.26377034,25.99911032,29,91
64.78823553,79.27804212,24.23500612,29,92
113.9809414,88.9169554,26.13399232,29,93
